DEBUG 2026-08-13 09:42:17,811 django.db.backends utils:131 (0.041) SELECT `store_app_inventory`.`id`, `store_app_inventory`.`product_id`, `store_app_inventory`.`quantity` FROM `store_app_inventory` WHERE `store_app_inventory`.`product_id` = 930 LIMIT 21; args=(930,); alias=default
DEBUG 2026-08-13 09:42:17,856 django.db.backends utils:131 (0.045) SELECT `store_app_inventory`.`id`, `store_app_inventory`.`product_id`, `store_app_inventory`.`quantity` FROM `store_app_inventory` WHERE `store_app_inventory`.`product_id` = 931 LIMIT 21; args=(931,); alias=default
DEBUG 2026-08-13 09:42:17,918 django.db.backends utils:131 (0.061) SELECT `store_app_inventory`.`id`, `store_app_inventory`.`product_id`, `store_app_inventory`.`quantity` FROM `store_app_inventory` WHERE `store_app_inventory`.`product_id` = 932 LIMIT 21; args=(932,); alias=default
DEBUG 2026-08-13 09:42:17,964 django.db.backends utils:131 (0.046) SELECT `store_app_inventory`.`id`, `store_app_inventory`.`product_id`, `store_app_inventory`.`quantity` FROM `store_app_inventory` WHERE `store_app_inventory`.`product_id` = 933 LIMIT 21; args=(933,); alias=default
DEBUG 2026-08-13 09:42:18,008 django.db.backends utils:131 (0.043) SELECT `store_app_inventory`.`id`, `store_app_inventory`.`product_id`, `store_app_inventory`.`quantity` FROM `store_app_inventory` WHERE `store_app_inventory`.`product_id` = 934 LIMIT 21; args=(934,); alias=default
DEBUG 2026-08-13 09:42:18,051 django.db.backends utils:131 (0.041) SELECT `store_app_inventory`.`id`, `store_app_inventory`.`product_id`, `store_app_inventory`.`quantity` FROM `store_app_inventory` WHERE `store_app_inventory`.`product_id` = 936 LIMIT 21; args=(936,); alias=default
DEBUG 2026-08-13 09:42:18,105 django.db.backends utils:131 (0.052) SELECT `store_app_inventory`.`id`, `store_app_inventory`.`product_id`, `store_app_inventory`.`quantity` FROM `store_app_inventory` WHERE `store_app_inventory`.`product_id` = 937 LIMIT 21; args=(937,); alias=default
DEBUG 2026-08-13 09:42:18,149 django.db.backends utils:131 (0.042) SELECT `store_app_inventory`.`id`, `store_app_inventory`.`product_id`, `store_app_inventory`.`quantity` FROM `store_app_inventory` WHERE `store_app_inventory`.`product_id` = 938 LIMIT 21; args=(938,); alias=default
DEBUG 2026-08-13 09:42:18,194 django.db.backends utils:131 (0.042) SELECT `store_app_inventory`.`id`, `store_app_inventory`.`product_id`, `store_app_inventory`.`quantity` FROM `store_app_inventory` WHERE `store_app_inventory`.`product_id` = 939 LIMIT 21; args=(939,); alias=default
DEBUG 2026-08-13 09:42:18,241 django.db.backends utils:131 (0.044) SELECT `store_app_inventory`.`id`, `store_app_inventory`.`product_id`, `store_app_inventory`.`quantity` FROM `store_app_inventory` WHERE `store_app_inventory`.`product_id` = 940 LIMIT 21; args=(940,); alias=default
DEBUG 2026-08-13 09:42:18,296 django.db.backends utils:131 (0.052) SELECT `store_app_inventory`.`id`, `store_app_inventory`.`product_id`, `store_app_inventory`.`quantity` FROM `store_app_inventory` WHERE `store_app_inventory`.`product_id` = 942 LIMIT 21; args=(942,); alias=default
DEBUG 2026-08-13 09:42:18,389 django.db.backends utils:131 (0.090) SELECT `store_app_inventory`.`id`, `store_app_inventory`.`product_id`, `store_app_inventory`.`quantity` FROM `store_app_inventory` WHERE `store_app_inventory`.`product_id` = 943 LIMIT 21; args=(943,); alias=default
DEBUG 2026-08-13 09:42:18,508 django.db.backends utils:131 (0.116) SELECT `store_app_inventory`.`id`, `store_app_inventory`.`product_id`, `store_app_inventory`.`quantity` FROM `store_app_inventory` WHERE `store_app_inventory`.`product_id` = 944 LIMIT 21; args=(944,); alias=default
DEBUG 2026-08-13 09:42:18,552 django.db.backends utils:131 (0.041) SELECT `store_app_inventory`.`id`, `store_app_inventory`.`product_id`, `store_app_inventory`.`quantity` FROM `store_app_inventory` WHERE `store_app_inventory`.`product_id` = 945 LIMIT 21; args=(945,); alias=default
DEBUG 2026-08-13 09:42:18,604 django.db.backends utils:131 (0.049) SELECT `store_app_inventory`.`id`, `store_app_inventory`.`product_id`, `store_app_inventory`.`quantity` FROM `store_app_inventory` WHERE `store_app_inventory`.`product_id` = 946 LIMIT 21; args=(946,); alias=default
DEBUG 2026-08-13 09:42:18,649 django.db.backends utils:131 (0.043) SELECT `store_app_inventory`.`id`, `store_app_inventory`.`product_id`, `store_app_inventory`.`quantity` FROM `store_app_inventory` WHERE `store_app_inventory`.`product_id` = 947 LIMIT 21; args=(947,); alias=default
